"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Авторизация через логин и пароль","1093","Авторизация с валидными данными","test_selenium","Sun Nov 09 13:56:17 UTC 2025","passed","Sun Nov 09 13:56:18 UTC 2025","","test_form","",""
"Авторизация через логин и пароль","1052","Авторизация с невалидными данными","test_selenium","Sun Nov 09 13:56:18 UTC 2025","passed","Sun Nov 09 13:56:19 UTC 2025","","test_form","",""
